Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,,0.07352941176469778,0.5143277002204347,-0.3654970760234002,-0.29347028613352927,1.7660044150110392,-1.6630513376717215,0.8823529411764712,1.0204081632652908,1.5151515151515245,-2.2743425728500375,0.7999999999999926
2011,1.0822510822510911,-0.21413276231264194,1.2160228898426413,0.3533568904593564,3.661971830985919,1.2228260869565228,1.5436241610738195,-2.577660277594179,0.20352781546812168,-1.3540961408259997,-3.980782429649969,1.5010721944245824
2012,0.2112676056338108,1.3352073085031557,-3.25936199722607,2.222222222222216,-0.9817671809256671,-0.6373937677053753,1.710620099786174,-1.4015416958654532,-0.426439232409382,1.4989293361884304,-0.2812939521800284,1.2693935119887176
2013,-0.9749303621169926,-0.7735583684950703,0.07087172218284124,-0.21246458923511982,-0.5677785663591204,2.7123483226266973,-0.3474635163307933,-1.8131101813110198,0.7812500000000087,-4.298801973220574,1.7673048600883503,0.21707670043416166
2014,-1.4440433212996402,1.6849816849816783,-2.089337175792501,2.133922001471664,0.9365994236311329,-0.0713775874375526,0.9285714285714375,-1.203113941967454,0.6446991404011547,0.6405693950177862,0.42432814710042477,3.239436619718313
2015,0.8867667121418911,-2.974983096686953,0.34843205574912145,0.9722222222222231,0.6189821182943687,0.27341079972658944,-1.363326516700751,-1.8659295093296568,0.845070422535212,-0.9776536312849171,-0.634696755994351,1.3484740951029033
2016,-0.21008403361343778,-1.2631578947368431,0.6396588486140652,-0.7062146892655374,-1.7069701280227612,-3.5455861070911676,1.2003000750187558,-0.5930318754633066,-0.8948545861297548,1.053423626787059,1.414743112434857,0.0
2017,-0.8076358296622702,0.5181347150259155,-2.1354933726067844,-0.07524454477049586,-0.07530120481928554,0.6028636021100231,-0.5992509363295886,1.582516955538819,0.07418397626111943,-1.556708673091172,-2.484939759036155,1.6216216216216317
2018,-2.659574468085117,-1.2490241998438731,3.478260869565221,-2.139037433155082,0.9367681498829048,-1.0827532869296221,1.094605160281471,0.6960556844547656,-1.0752688172043021,-0.8540372670807548,-0.23492560689114267,1.2558869701726856
2019,-1.240310077519381,0.6279434850863428,-1.6380655226209149,1.9032513877874722,0.3112840466926073,-0.6982156710628314,0.0781249999999914,-0.4683840749414524,1.647058823529422,2.2376543209876476,2.716981132075474,0.14695077149155047
2020,-0.8804108584005879,1.7764618800888248,-0.07272727272726472,2.328966521106245,0.4267425320056903,4.390934844192638,0.7462686567164262,0.673400673400674,-0.20066889632107782,0.737265415549591,0.7984031936127752,1.5181518151815268
2021,0.5201560468140447,-0.5821474773609391,-0.7156798959010996,-1.0484927916120586,0.06622516556290661,-0.06618133686299735,-1.258278145695358,-1.609657947686118,7.702794819359235,-3.417721518987345,1.3761467889908197,-0.969618616677434
2022,1.5013054830287147,1.4790996784566002,1.8377693282636192,0.31113876789048633,-0.37220843672456605,5.292652552926523,1.4192785334121834,2.3906705539358555,-0.3986332574031831,3.716409376786732,1.8191841234840085,1.4076881429344896
2023,0.8008542445274908,0.42372881355932246,2.1097046413502127,2.7376033057851323,-1.9105077928607357,-0.7175807278318816,2.219927723283424,-0.5050505050505055,0.101522842639594,1.5212981744421807,-1.298701298701289,2.4291497975708523
2024,0.4446640316205483,-1.3280865715691164,-0.4486540378863248,0.050075112668997994,-1.3513513513513469,0.10147133434804675,0.1013684744044603,-1.2151898734177224,1.2813941568426401,-1.973684210526312,-1.0841507485802855,-0.20876826722338224
2025,0.6799163179916382,0.0,-2.3376623376623455,1.7553191489361777,-1.9341348667015237,-0.6396588486140613,-0.6974248927038692,-0.5402485143165862,1.4122759369907671,,,
