Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,,4.639463387367255,-2.6709401709401734,-2.3600439077936417,-14.390106801573918,-1.904136572554164,-3.547523427041495,5.412907702984028,15.404871626069783,-16.942384483742153,15.041208791208796,7.044776119402978
2011,0.7250418293363147,-5.426356589147292,1.405152224824357,-0.2886836027713564,-2.026635784597576,-0.5319148936170152,-2.139037433155082,3.885853066180939,13.793103448275861,-3.903441191576788,-1.870657402458574,2.0697167755991304
2012,3.4685165421558133,-7.271789582258897,-1.3348164627363748,3.1003382187147652,-7.545106615636955,-1.241868716735667,-1.317365269461079,14.320388349514563,0.26539278131635435,3.7586024351508707,0.15306122448980172,2.2414671421293955
2013,-3.687095166915798,1.655457837558201,-2.035623409669213,-0.3636363636363697,-2.5026068821689167,-0.5882352941176535,-1.3986013986013999,0.2727768685215557,3.2100108813928148,1.4760147601476028,0.0,5.246753246753234
2014,-0.8884501480750145,-0.4980079681274905,3.1531531531531503,2.8141678796700766,-5.804624823029741,-2.404809619238479,0.10266940451745389,1.4871794871794943,-0.45477513895907623,-0.9644670050761374,4.151717068170167,8.759842519685037
2015,-4.389140271493211,-1.1831519167061009,2.1551724137931,-3.187998124706988,-4.987893462469732,30.988786952089697,0.0,14.51361867704281,0.7815154604145474,-5.327039784221185,-5.128205128205117,3.265765765765756
2016,-15.376226826608509,-2.620274914089345,-8.20467578297309,-13.839500240269103,-6.0791968767428886,-11.46080760095011,3.688799463447346,-5.8861578266494154,1.0996563573883171,-5.506458191706335,-4.964028776978414,4.6934140802422455
2017,15.618221258134488,-8.442776735459663,-4.098360655737709,0.3561253561253644,0.3548616039744424,-5.799151343705789,0.0750750750750668,2.550637659414856,4.023408924652519,8.298171589310838,-2.2077922077922096,20.517928286852584
2018,-2.534435261707991,-0.7914075749010749,4.330484330484334,13.653741125068269,-4.5170591061989365,-18.067438349270265,5.9582309582309705,-5.971014492753621,1.787916152897652,0.5451241671714051,-3.8554216867469777,-0.06265664160401703
2019,-2.5705329153604968,0.19305019305018606,-0.8349389852279963,-5.246113989637303,-6.903622693096375,-11.674008810572689,3.3250207813798864,-1.9308125502815785,13.453650533223946,-7.302964569775848,9.594383775351014,9.2526690391459
2020,-4.820846905537449,-0.8213552361396311,5.244996549344365,32.393442622950836,-18.77166914314018,-5.243902439024382,-9.845559845559846,-5.210563882940753,1.882530120481921,4.0650406504065,2.9829545454545485,2.1379310344827682
2021,-1.0128291694800893,8.935879945429742,1.7532874139010661,-0.30769230769230116,0.30864197530863535,1.0461538461538402,0.0,4.0803897685749195,7.372732592159151,-0.7629427792915539,-5.656232839099395,4.074505238649596
2022,7.885906040268457,3.939865215137369,2.044887780548625,23.167155425219953,13.61111111111111,-5.448829898707654,8.459549316586632,6.1307901907357,-6.86777920410783,17.815299793246034,4.97221409768938,18.41738645862357
2023,13.48235294117648,-12.689197594857973,-18.166706245547378,-5.107370864770753,-18.47094801223242,-16.76669167291823,-5.633168093735917,-2.4355300859598716,1.0768477728830053,0.3389830508474633,3.1853281853281774,17.25912067352667
2024,0.5983246908655636,18.794607454401277,-0.13351134846461962,-4.278074866310164,-5.761173184357543,0.5928121526491299,13.443830570902401,4.02597402597403,19.257178526841447,-11.80319288144465,8.278931750741837,13.620169909564261
2025,19.4645441389291,19.05915606703008,5.596065796167544,-17.745302713987478,-11.206559937524402,-16.99648197009675,-4.662251655629132,-0.3334259516532373,-2.7599665458600557,,,
