Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,,0.4675082149804055,1.04595875887461,-0.08036517875935623,-0.2784500484664054,1.4970641667693574,0.12201329134271521,-0.25669414999345275,0.4120872188508651,0.538811315751575,0.2305419872141723,0.4734705344840995
1993,-0.38887244355473305,0.29137224628852376,-0.08651416105596166,0.12737135726079707,0.5125123413495247,0.2180726876808814,-0.3617842857903564,0.40708821412909213,0.7565414451077945,-0.06613862668175541,1.0445624149980182,0.2590325634772572
1994,-0.10319418523349055,0.5746307726823607,0.507751021490721,0.14211114419524495,0.9955859443840476,0.043876559079358834,-0.11825066548126761,0.7269433579205176,-0.4192149543519097,0.9249975615098327,-0.10753146906782307,0.993852516406224
1995,-0.03372826460917855,-0.7843148665237942,0.8769897436886165,-0.5766056534692865,0.3235353700151711,1.0308935479381942,-0.5765411889894767,0.6004198214337064,0.7092523912091364,-0.31059757019348266,0.045607908946432296,0.8718860792170879
1996,-0.16226929018073877,0.1167787284530375,0.722272032235427,1.2370152151979674,-0.3723908400532605,0.46795939193411407,0.4889827590361939,0.09233884885733179,0.46814863526820627,0.8176781803647781,-0.04373599645184356,-0.281502393919153
1997,0.6069598997629377,0.7115658819071058,-0.6943959165800706,2.2271759034598215,-0.9168620536891492,0.8758825798743652,0.8068822573980672,0.24151816691195815,0.008789921036767012,0.6451668102543939,-0.20503746149833635,0.774452306181117
1998,-0.526963381756862,1.5019668902246375,0.25442479141899454,-0.20517811930692575,0.25956364518813224,0.8702170870893422,-0.19897462004893063,0.5056320313315821,1.3514139195363484,0.3116012997341322,0.42130280988295077,-0.16574231767635395
1999,0.22109621353718634,0.7712630062339132,0.5151886919674054,-0.00512796064007226,0.3725851724059259,-0.026140347816427933,0.9367406528799638,0.27666296789641276,0.2818539825459432,0.5989325260598921,0.6120133579620823,1.02780801451674
2000,-0.9846543543189035,0.40896537560255464,0.590246940955641,1.3091055619136815,-0.1357568263314013,0.20113367275218508,-0.6003291189356053,0.803472321286236,0.24234412820682838,0.2912863941194166,-0.10089784553407588,-0.16153531971444535
2001,0.04115802479498498,-0.21533552982395676,-0.24963190567101057,0.7841165381043069,0.4631592539170226,-0.6817208273863562,-0.3193123063443437,1.150701053841785,-1.6203097892028118,0.8650680217910267,-0.5328179726782678,1.444835291729074
2002,0.2920394932981685,-0.5853363776894382,0.4689101925667405,0.3743389619001558,-0.009679681266649975,0.38334383590068466,0.5312861494442433,-0.5692616972705955,0.011328696525336746,-0.09083214935516892,0.29088151382947736,0.6096877127744316
2003,-0.109222283261734,0.39780250852359256,-0.3927598305299429,0.5459034747480773,0.10079690811439779,1.2053945603758054,0.29637023568076515,0.4812188713099186,0.6079034139698347,0.12886213705254335,0.5820984152118625,0.22374189866294358
2004,-0.5341718743180901,0.8284539425792659,0.6228706474751267,-0.2822880193830257,0.8774789680431105,-0.644506792344135,0.898571569026263,0.24635103137122805,0.07803183094623467,0.7653947881667955,-0.02118729342887038,0.39842896751136614
2005,0.9074496684118749,-0.17226296562240506,0.17105797305903003,0.26258562721424017,-0.20476376300603283,0.929383487606894,0.163504766716982,0.25177294771814296,-0.2932432516892791,0.20983605964060015,0.301750849245086,0.7662649379474251
2006,0.4891542027061657,-0.04471694223081579,0.8105679697796297,-0.4160613639756505,0.2678530719952832,-0.07623125618674287,-0.21528450729296766,0.32144206865611924,0.3395918771930351,0.07578749744139301,0.6845946372953104,-0.02384086564021226
2007,-0.10447427860188485,0.6260940009437777,-0.6665290999250728,0.8226193647582702,-0.0343884180378673,0.1539012634670156,-0.3297682561969162,1.136671344928386,0.17493662727561254,-0.10335476772455054,0.14723605643545135,0.41972062574844315
2008,0.14110819965820198,-1.4277525953429016,0.1813864504250695,0.34669276618009004,0.29659309721685734,1.2294185925975532,-0.7611336421716297,-0.4157096593072951,-1.1874152746102262,-0.7745382140875279,0.10004195704056418,-1.6915174355952356
2009,0.26747721574271743,-0.34218832986812053,-0.22123722351286013,-0.009774672467510737,0.12538461409974389,0.027851817518431687,-0.0881019288220708,0.5036079536356652,0.130220788901525,1.2255522051907386,-0.3160234474962609,-0.5578788817519942
2010,0.6185332548459543,0.22339997230580444,0.5892839347307,0.392214758148679,-0.07136476995213137,0.46229393527876805,0.47166337388042656,-0.24307872256591478,0.5294349259504338,0.22314948721064987,-0.3016707742361291,0.6964599101081603
2011,-0.9388689852790844,-0.12352535720636659,1.282652178419208,0.22840947308964132,-0.3454827796027904,-0.38980306683980004,0.35709297125254835,0.41247038159748506,-0.8292055890389172,1.7036358681224106,-0.23327070043825948,0.005317293233941811
2012,0.30978598270368085,1.4479653991920083,-1.0757911414142396,0.4979693192513013,0.3916278328007339,-0.20457827153288477,0.45373031416993115,-0.5949559003334715,0.2859756356644594,-0.3081968887165387,0.43519884673348663,0.43006118339279364
2013,0.9145389699297235,-0.7065199956299395,0.34045622039762247,0.16857745491940523,-0.1858535162509778,0.6999541678226917,0.08337674080689528,0.5665471809742417,-0.04528169151661876,0.5161604747258242,0.41433002712314426,-0.24151537656581512
2014,-0.7098322537934965,0.5989892609048031,-0.025022663499585374,0.6831800766659679,0.49786170293901755,0.26773355615106187,0.6733066327306414,0.5151658272783521,-0.4460446289132336,0.585874453084112,0.05305278246050538,0.035460176810797606
2015,0.7744482229561589,0.4341685277416518,-0.61489281627366,0.8941066578771473,-0.1773636800238676,0.3381643237661436,0.05074139882481621,0.024992115500954704,0.4991107527934968,-0.02759861064952629,-0.40836169118039223,0.4341247578272256
