Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,,,,,,,,,,,,
Series Title:,,,,,,,,,,,,
Area:,,,,,,,,,,,,
Item:,,,,,,,,,,,,
Years:,,,,,,,,,,,,
,,,,,,,,,,,,
Year,,,,,,,,,,,,
2010,,,,,,,,,,,,
2011,3.0147058823529305,2.7185892725936744,3.4356725146198697,4.181951577402776,8.314937454010307,7.7368040491684775,11.249999999999982,7.4344023323615005,6.565656565656575,3.553660270078174,1.745454545454539,2.4531024531024626
2012,1.570306923625986,3.1473533619456484,-1.4134275618374548,0.42253521126760507,-4.07608695652174,-5.838926174496639,-5.684071381361521,-4.545454545454541,-5.1455653351388015,-2.4021962937542995,1.3581129378127166,1.1267605633802802
2013,-0.07027406886859211,-2.1497919556171974,1.2186379928315283,-1.192145862552585,-0.7790368271954562,2.565930149679252,0.49053959355289667,0.0710732054015617,1.2847965738758127,-4.500703234880444,-2.53878702397744,-3.5515320334261746
2014,-4.008438818565397,-1.6300496102055417,-3.7535410764872434,-1.4904187366927002,0.0,-2.710215427380136,-1.4644351464435101,-0.8522727272727293,-0.9866102889358741,4.123711340206171,2.749638205499272,5.848375451263532
2015,8.351648351648366,3.386167146974084,5.96026490066226,4.755043227665712,4.425410421127762,4.785714285714304,2.406227883934897,1.7191977077363862,1.9217081850533724,0.28288543140029265,-0.7746478873239315,-2.592087312414737
2016,-3.6511156186612603,-1.9512195121951237,-1.6666666666666718,-3.301237964236592,-5.53656869446344,-9.134287661895035,-6.7726330338631735,-5.563380281690133,-7.192737430167595,-5.289139633286311,-3.3356990773598216,-4.621848739495782
2017,-5.19298245614036,-3.482587064676612,-6.144067796610164,-5.547652916073953,-3.979739507959479,0.15003750937734317,-1.630837657524098,0.5219985085757051,1.5048908954100826,-1.116902457185398,-4.91923641703379,-3.3773861967694607
2018,-5.181347150259075,-6.848306332842425,-1.5048908954100826,-3.539156626506035,-2.562170308967593,-4.194756554307122,-2.562170308967593,-3.4124629080118707,-4.521868050407707,-3.840361445783147,-1.6216216216216162,-1.9756838905775065
2019,-0.5464480874316835,1.3438735177865757,-3.6669213139801426,0.31225604996096834,-0.30935808197989356,0.07818608287726292,-0.9280742459396807,-2.073732718894017,0.6211180124223503,3.758809710258415,6.8288854003139665,5.658914728682163
2020,6.043956043956045,7.254290171606859,8.961141950832685,9.416342412451373,9.542280837858797,15.156250000000004,15.925058548009385,17.25490196078434,15.123456790123457,13.433962264150946,11.31520940484938,12.839325018341906
2021,14.433752775721697,11.781818181818181,11.062590975254727,7.3968705547653,7.011331444759206,2.442333785617379,0.40404040404040664,-1.872909698996661,5.898123324396787,1.530272787757836,2.1122112211221067,-0.39011703511053764
2022,0.582147477360917,2.6675341574495803,5.30799475753605,6.754966887417235,6.2872270019854515,11.986754966887414,15.02347417840375,19.700068166325835,10.696202531645582,18.872870249017048,19.392372333548803,22.258485639686686
2023,21.41479099678456,20.152091254752836,20.472930927193534,23.38709677419355,21.481942714819425,14.54760496747487,15.451895043731767,12.186788154897489,12.750142938822172,10.363836824696794,6.984298863021121,8.06193272824347
2024,7.680084745762716,5.8016877637130815,3.1508264462809965,0.4524886877828038,1.025115325474113,1.858544140423346,-0.2525252525252486,-0.9644670050761417,0.20283975659229903,-3.246753246753231,-3.0364372469635637,-5.533596837944666
2025,-5.312346286276437,-4.037886340977059,-5.858788182273422,-4.254254254254253,-4.819888381532222,-5.524581855043076,-6.278481012658233,-5.638134290107644,-5.516194331983804,0.0,0.0,0.0
